TeamName,PointsPerGame,Score,PassingCompletions,PassingAttempts,CompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,FirstDownsByPassing,TimesSacked,TimesSackedYards,PasserRating
Buccaneers,24.6,344,352,542,64.9,4464,8.2,12.7,31,25,230,37,undefined,90
Chiefs,35.6,499,346,516,67.1,4380,8.5,12.7,45,11,212,25,undefined,114
Steelers,27.4,384,395,594,66.5,4366,7.4,11.1,31,16,217,20,undefined,94
Rams,32,448,332,515,64.5,4093,7.9,12.3,27,12,212,31,undefined,97
Falcons,25.4,356,381,546,69.8,4040,7.4,10.6,30,6,211,40,undefined,105
Patriots,26.7,374,341,516,66.1,3897,7.6,11.4,24,9,188,19,undefined,97
Colts,26.6,372,377,562,67.1,3830,6.8,10.2,34,13,203,16,undefined,97
Chargers,28.2,395,311,451,69,3782,8.4,12.2,31,8,193,29,undefined,110
Packers,23.7,332,336,545,61.7,3696,6.8,11,23,3,184,46,undefined,93
Vikings,23.1,323,384,545,70.5,3695,6.8,9.6,26,10,201,34,undefined,97
Saints,32.8,459,340,457,74.4,3619,7.9,10.6,31,5,186,16,undefined,115
Eagles,22.2,311,358,515,69.5,3582,7,10,22,9,188,36,undefined,96
Giants,21.9,307,333,509,65.4,3440,6.8,10.3,20,10,179,46,undefined,90
Raiders,18.6,260,339,497,68.2,3427,6.9,10.1,19,8,178,48,undefined,94
49ers,21.5,301,286,461,62,3371,7.3,11.8,23,16,177,44,undefined,86
Browns,22.1,309,302,494,61.1,3284,6.6,10.9,23,14,159,38,undefined,84
Panthers,23.8,333,323,476,67.9,3278,6.9,10.1,25,13,183,29,undefined,93
Texans,25.1,352,291,431,67.5,3264,7.6,11.2,24,9,172,52,undefined,100
Broncos,21.9,306,313,503,62.2,3207,6.4,10.2,16,12,158,32,undefined,81
Ravens,24.4,341,308,510,60.4,3189,6.3,10.4,17,9,170,27,undefined,82
Lions,20.3,284,331,498,66.5,3167,6.4,9.6,19,12,175,37,undefined,87
Bears,27.4,383,301,457,65.9,3166,6.9,10.5,27,14,158,30,undefined,93
Bengals,24.1,337,306,499,61.3,3112,6.2,10.2,25,13,171,30,undefined,85
Cowboys,19.7,276,309,458,67.5,3017,6.6,9.8,17,8,157,51,undefined,91
Jaguars,16.1,225,297,484,61.4,2902,6,9.8,15,12,152,44,undefined,78
Redskins,18.9,265,285,458,62.2,2822,6.2,9.9,15,12,141,38,undefined,80
Seahawks,25.9,363,250,377,66.3,2730,7.2,10.9,31,6,134,42,undefined,108
Jets,20.9,292,259,461,56.2,2707,5.9,10.5,15,19,131,31,undefined,67
Dolphins,21.1,295,258,401,64.3,2653,6.6,10.3,24,10,136,45,undefined,93
Titans,19.1,268,258,383,67.4,2618,6.8,10.1,14,10,139,44,undefined,88
Bills,15.4,215,234,432,54.2,2362,5.5,10.1,9,20,118,40,undefined,58
Cardinals,13.7,192,247,430,57.4,2251,5.2,9.1,13,18,123,42,undefined,64
